Phase,Temperature,Treatment,Table,Colony,Plate,RackRep,Frag,TotalChangeG,TotalPercentDay,TotalPercentChange
Stress,High,Single,D,24,1_24_P02,6,1_24_36,0.016553324,0.032358895,0.453024524
Stress,Ambient,Diverse,B,4,2_P13,3,2_4_44,0.007468454,0.03245022,0.45430308
Grow-Out,Ambient,Single,A,12,1_12_P01,1,1_12_36,0.089130494,0.032960903,2.669833169
Stress,Ambient,Single,A,2,1_2_P01,2,1_2_31,0.030562427,0.033206712,0.464893965
Stress,High,Single,D,5,1_5_P04,1,1_5_18,0.004910583,0.033241239,0.46537734
Stress,Ambient,Single,B,23,1_23_P01,8,1_23_15,0.011309192,0.033286045,0.466004632
Stress,High,Single,D,3,1_3_P02,7,1_3_36,0.023125587,0.033848363,0.473877087
Stress,High,Diverse,C,4,2_P10,8,2_4_56,0.01548317,0.033933721,0.4750721
Stress,Ambient,Single,B,2,1_2_P02,4,1_2_17,0.009528821,0.033994057,0.475916791
Stress,High,Single,C,3,1_3_P01,7,1_3_38,0.01036858,0.034203678,0.478851492
Grow-Out,Ambient,Single,A,32,1_32_P03,5,1_32_3,0.045085114,0.034518737,2.796017707
Grow-Out,Ambient,Single,A,32,1_32_P03,1,1_32_13,0.036992954,0.034742167,2.814115496
Stress,High,Single,D,12,1_12_P02,6,1_12_20,0.011694409,0.035297583,0.494166163
Grow-Out,Ambient,Diverse,C,31,2_P19,4,2_31_42,0.055299341,0.035691637,2.89102258
Stress,High,Single,C,24,1_24_P01,9,1_24_20,0.025637688,0.036289721,0.508056092
Stress,Ambient,Single,B,2,1_2_P02,8,1_2_19,0.007734636,0.036445905,0.51024267
Stress,High,Diverse,D,32,2_P12,8,2_32_45,0.009994365,0.036580166,0.512122322
Grow-Out,Ambient,Single,C,5,1_5_P04,1,1_5_18,0.028802144,0.038163831,3.0912703
Stress,Ambient,Single,B,32,1_32_P02,3,1_32_17,0.015287264,0.039282462,0.549954474
Stress,High,Single,C,2,1_2_P03,2,1_2_9,0.052781348,0.039294405,0.550121666
Stress,High,Single,C,3,1_3_P01,10,1_3_21,0.035836402,0.039391104,0.551475461
Stress,Ambient,Diverse,B,2,2_P03,3,2_2_46,0.031334901,0.039452463,0.552334476
Stress,Ambient,Single,A,24,1_24_P03,10,1_24_4,0.009390465,0.039502328,0.553032595
Stress,Ambient,Diverse,B,4,2_P03,2,2_4_42,0.013776588,0.040321504,0.564501057
Grow-Out,Ambient,Single,A,3,1_3_P01,1,1_3_25,0.170170942,0.040383449,3.271059352
Stress,High,Diverse,D,5,2_P12,2,2_5_42,0.018841121,0.040625028,0.56875039
Grow-Out,Ambient,Single,B,3,1_3_P04,10,1_3_17,0.198184433,0.040727642,3.298938967
Grow-Out,Ambient,Single,A,2,1_2_P03,4,1_2_3,0.070907218,0.040910764,3.313771869
Stress,Ambient,Diverse,B,1,2_P04,7,2_1_47,0.011385314,0.041104764,0.575466695
Stress,Ambient,Diverse,A,23,2_P14,10,2_23_58,0.030530442,0.04144442,0.580221877
Stress,Ambient,Single,B,2,1_2_P02,9,1_2_1,0.035603937,0.041503369,0.581047161
Stress,High,Single,D,2,1_2_P04,9,1_2_21,0.0206208,0.042633416,0.596867822
Grow-Out,Ambient,Single,C,5,1_5_P01,8,1_5_17,0.044331237,0.043093646,3.490585308
Stress,High,Single,D,2,1_2_P04,1,1_2_16,0.015563341,0.043170551,0.604387709
Stress,High,Diverse,D,12,2_P12,9,2_12_5,0.029685056,0.043322994,0.606521909
Stress,High,Single,D,24,1_24_P02,5,1_24_18,0.035893647,0.043810687,0.613349616
Stress,High,Single,C,2,1_2_P03,7,1_2_26,0.042247578,0.04465547,0.625176576
Stress,High,Single,D,2,1_2_P04,8,1_2_29,0.0506717,0.045053982,0.630755745
Stress,High,Diverse,C,32,2_P06,9,1_32_54,0.023178047,0.045658114,0.6392136
Stress,Ambient,Single,B,2,1_2_P02,5,1_2_18,0.016155115,0.046064861,0.644908056
Stress,Ambient,Single,B,24,1_24_P04,4,1_24_5,0.022439508,0.046598925,0.65238495
Stress,High,Single,D,24,1_24_P02,7,1_24_39,0.010928783,0.047029943,0.658419196
Grow-Out,Ambient,Single,A,2,1_2_P03,8,1_2_4,0.137718665,0.047030656,3.809483156
Stress,High,Single,C,12,1_12_P01,3,1_12_10,0.031951683,0.047194771,0.66072679
Stress,High,Diverse,D,3,2_P15,4,2_3_56,0.018214065,0.048169644,0.674375022
Stress,High,Single,D,4,1_4_P01,6,1_4_23,0.010752766,0.048198582,0.674780146
Stress,High,Single,D,3,1_3_P02,2,1_3_4,0.041926799,0.048538361,0.679537056
Grow-Out,Ambient,Diverse,C,23,2_P17,5,2_23_49,0.07184696,0.048571616,3.934300932
Stress,Ambient,Single,A,3,1_3_P04,9,1_3_22,0.018511847,0.048786622,0.683012714
Stress,High,Single,D,32,1_32_P03,8,1_32_64,0.046971195,0.049663789,0.695293043
Stress,Ambient,Single,B,31,1_31_P02,5,1_31_38,0.016306455,0.050264518,0.703703257
Stress,High,Single,C,23,1_23_P02,1,1_23_24,0.007415058,0.050404487,0.705662812
Stress,Ambient,Diverse,B,12,2_P08,10,2_12_58,0.026652735,0.050536421,0.707509891
Grow-Out,Ambient,Diverse,D,1,2_P01,3,2_1_60,0.15843924,0.050978585,4.129265366
Stress,Ambient,Single,B,32,1_32_P02,7,1_32_40,0.030039158,0.051168832,0.716363651
Grow-Out,Ambient,Single,A,32,1_32_P02,10,1_32_7,0.082439992,0.051185466,4.146022777
Stress,High,Diverse,C,3,2_P17,8,2_3_48,0.040582844,0.051302465,0.718234503
Grow-Out,Ambient,Single,B,24,1_24_P01,3,1_24_17,0.329451953,0.051472156,4.16924466
Stress,Ambient,Single,A,23,1_23_P03,7,1_23_2,0.020669327,0.051549277,0.721689878
Grow-Out,Ambient,Single,A,3,1_3_P01,5,1_3_34,0.212119259,0.051943411,4.207416322
Grow-Out,Ambient,Single,B,3,1_3_P04,2,1_3_11,0.169658073,0.052370132,4.241980696
Grow-Out,Ambient,Single,D,32,1_32_P04,9,1_32_23,0.074286976,0.052562112,4.257531074
Stress,Ambient,Single,A,32,1_32_P01,5,1_32_33,0.016632358,0.05280205,0.739228704
Stress,High,Single,C,4,1_4_P04,10,1_4_11,0.035103699,0.053343801,0.746813218
Grow-Out,Ambient,Diverse,C,3,2_P17,8,2_3_48,0.235649203,0.053941876,4.369291992
Stress,Ambient,Diverse,A,32,2_P02,9,1_32_56,0.028806344,0.054094082,0.757317146
Stress,High,Diverse,C,24,2_P17,1,2_24_48,0.080632575,0.05538313,0.775363817
Grow-Out,Ambient,Single,A,2,1_2_P03,6,1_2_38,0.086731596,0.055567694,4.500983179
Stress,Ambient,Single,B,12,1_12_P03,9,1_12_35,0.024419367,0.055628774,0.77880284
Stress,High,Single,C,4,1_4_P04,6,1_4_15,0.011210727,0.055995696,0.783939751
Stress,Ambient,Single,A,31,1_31_P03,4,1_31_10,0.024334794,0.056047382,0.784663342
Stress,High,Single,C,2,1_2_P03,8,1_2_4,0.031573401,0.056493125,0.790903756
Stress,Ambient,Single,B,3,1_3_P03,8,1_3_32,0.018873443,0.05666825,0.793355506
Grow-Out,Ambient,Single,A,3,1_3_P02,4,1_3_18,0.141676466,0.057975037,4.695977957
Stress,Ambient,Single,B,4,1_4_P02,7,1_4_27,0.022937127,0.058347473,0.816864627
Stress,High,Single,C,1,1_1_P04,2,1_1_30,0.029816863,0.05845553,0.818377419
Stress,Ambient,Single,B,32,1_32_P02,9,1_32_31A,0.026592899,0.058501795,0.819025133
Grow-Out,Ambient,Diverse,C,31,2_P17,9,2_31_55,0.062989411,0.058914619,4.772084125
Stress,Ambient,Single,A,3,1_3_P04,3,1_3_20,0.023235615,0.058916231,0.824827241
Grow-Out,Ambient,Single,A,12,1_12_P01,6,1_12_8,0.129605568,0.059206965,4.795764198
Grow-Out,Ambient,Single,B,31,1_31_P02,1,1_31_29,0.261955547,0.059214437,4.796369434
Stress,Ambient,Diverse,B,32,2_P18,10,1_32_59,0.018529906,0.059420283,0.831883959
Stress,High,Single,C,3,1_3_P01,9,1_3_39,0.027366176,0.060204855,0.842867974
Stress,High,Diverse,D,4,2_P15,8,2_4_45,0.026762573,0.060341369,0.844779171
Stress,Ambient,Single,B,23,1_23_P01,1,1_23_39,0.031216208,0.060523685,0.847331588
Stress,High,Diverse,D,5,2_P05,5,2_5_59,0.028144821,0.060905983,0.852683759
Stress,Ambient,Single,A,1,1_1_P01,1,2_1_55,0.034754189,0.061437678,0.860127493
Stress,Ambient,Single,A,12,1_12_P04,9,1_12_65,0.039393736,0.061509202,0.861128826
Stress,High,Single,C,32,1_32_P04,9,1_32_23,0.016301918,0.061529155,0.861408174
Stress,High,Diverse,C,3,2_P06,6,2_3_50,0.024348019,0.062095322,0.869334514
Stress,High,Diverse,D,1,2_P05,8,2_1_46,0.03207474,0.06257726,0.876081644
Grow-Out,Ambient,Single,A,32,1_32_P02,7,1_32_40,0.195236684,0.062813724,5.087911673
Stress,High,Single,C,32,1_32_P04,1,1_32_25,0.018355153,0.062964856,0.881507989
Grow-Out,Ambient,Diverse,C,12,2_P06,10,2_12_47,0.133159228,0.063028574,5.105314468
Stress,Ambient,Diverse,B,3,2_P04,6,2_3_41,0.059115674,0.063344084,0.886817172
Stress,High,Diverse,D,24,2_P19,10,2_24_60,0.032992819,0.063627162,0.890780267
Stress,Ambient,Diverse,A,3,2_P11,4,2_3_42,0.036373078,0.064146879,0.898056301
Stress,High,Diverse,D,4,2_P20,2,2_4_60,0.041858078,0.064562628,0.903876798
Stress,Ambient,Single,A,2,1_2_P01,6,1_2_13,0.068030947,0.065378031,0.915292439
Grow-Out,Ambient,Single,B,24,1_24_P02,4,1_24_37,0.369944552,0.065645488,5.317284498
Stress,High,Single,C,4,1_4_P04,1,1_4_2,0.013491261,0.065750462,0.920506473
Stress,High,Single,C,23,1_23_P02,10,1_23_28,0.019532368,0.065866077,0.922125077
Stress,High,Diverse,C,24,2_P10,7,2_24_45,0.031758435,0.065910333,0.922744656
Grow-Out,Ambient,Single,D,31,1_31_P03,8,1_31_33,0.099818604,0.06605457,5.35042013
Stress,Ambient,Diverse,A,3,2_P14,4,2_3_59,0.028282948,0.06619671,0.926753939
Stress,Ambient,Diverse,B,3,2_P13,7,2_3_45,0.035621731,0.066332844,0.928659815
Stress,High,Single,C,4,1_4_P04,3,1_4_39,0.030889768,0.066359235,0.929029289
Stress,Ambient,Single,B,12,1_12_P03,3,1_12_40,0.027052709,0.066398653,0.929581141
Grow-Out,Ambient,Single,A,3,1_3_P02,1,1_3_15,0.205571693,0.066422294,5.380205811
Stress,High,Diverse,C,1,2_P17,6,2_1_50,0.036912826,0.066517875,0.931250243
Stress,High,Single,D,32,1_32_P03,2,1_32_10A,0.038495767,0.066837109,0.935719525
Stress,Ambient,Single,A,24,1_24_P03,1,1_24_6,0.080149891,0.067207111,0.940899558
Stress,Ambient,Single,B,24,1_24_P04,6,1_24_34,0.029843572,0.067464785,0.944506985
Stress,Ambient,Diverse,B,12,2_P03,6,2_12_48,0.063317061,0.067548674,0.945681437
Stress,High,Single,D,23,1_23_P04,10,1_23_30,0.032906055,0.067614921,0.946608896
Stress,Ambient,Single,B,23,1_23_P01,5,1_23_17,0.02534172,0.068743207,0.962404901
Stress,High,Single,C,12,1_12_P01,9,1_12_16,0.034149369,0.068933093,0.965063306
Stress,High,Single,D,31,1_31_P01,2,1_31_36,0.038994513,0.069054099,0.966757383
Stress,High,Diverse,D,31,2_P20,8,2_31_45,0.013503998,0.06918193,0.968547026
Stress,High,Single,D,24,1_24_P02,10,1_24_9,0.106272506,0.069217092,0.969039288
Grow-Out,Ambient,Diverse,C,24,2_P06,3,2_24_55,0.204846888,0.070592427,5.717986575
Grow-Out,Ambient,Diverse,C,3,2_P09,5,2_3_47,0.181095501,0.071231854,5.769780203
Stress,Ambient,Single,A,31,1_31_P03,2,1_31_9,0.041206968,0.071263124,0.997683737
Grow-Out,Ambient,Single,A,3,1_3_P02,3,1_3_8,0.229542461,0.071641536,5.802964434
Grow-Out,Ambient,Single,A,24,1_24_P04,7,1_24_12,0.248501807,0.072600357,5.880628955
Stress,High,Single,D,4,1_4_P01,1,1_4_7,0.029242834,0.073037361,1.022523053
Stress,Ambient,Diverse,A,1,2_P14,3,2_1_56,0.040091158,0.073413,1.027782004
Stress,High,Diverse,C,4,2_P16,2,2_4_59,0.043493893,0.073432615,1.028056603
Grow-Out,Ambient,Diverse,D,31,2_P03,4,2_31_43,0.105462551,0.073520837,5.955187831
Stress,Ambient,Diverse,A,12,2_P11,3,2_12_59,0.034280061,0.07359821,1.030374946
Grow-Out,Ambient,Single,A,3,1_3_P02,5,1_3_37,0.22430392,0.073892473,5.985290319
Stress,Ambient,Diverse,A,5,2_P01,9,2_5_54,0.020416276,0.073920992,1.034893883
Grow-Out,Ambient,Diverse,D,12,2_P13,8,2_12_60,0.205762573,0.074300203,6.018316475
Stress,Ambient,Single,B,4,1_4_P02,6,1_4_35,0.041694973,0.074744867,1.046428132
Grow-Out,Ambient,Single,D,1,1_1_P03,1,1_1_10,0.112892822,0.074803989,6.059123089
Stress,High,Single,D,4,1_4_P01,8,1_4_38,0.015707245,0.074982076,1.049749059
Grow-Out,Ambient,Single,B,3,1_3_P03,3,1_3_6,0.507919642,0.075753294,6.136016834
Stress,High,Diverse,D,12,2_P05,9,2_12_53,0.037182855,0.075783116,1.060963622
Grow-Out,Ambient,Single,C,12,1_12_P04,1,1_12_66,0.2310494,0.076150307,6.16817486
Stress,High,Diverse,C,12,2_P17,10,2_12_52,0.029852255,0.076698531,1.073779429
Grow-Out,Ambient,Single,D,32,1_32_P04,7,1_32_32,0.242259776,0.076900923,6.228974746
Grow-Out,Ambient,Diverse,C,24,2_P18,8,2_24_46,0.230865953,0.077334108,6.264062772
Grow-Out,Ambient,Single,A,12,1_12_P02,6,1_12_20,0.134494898,0.077344824,6.264930778
Stress,High,Single,D,1,1_1_P02,4,1_1_14,0.031480332,0.077348078,1.082873091
Grow-Out,Ambient,Single,A,3,1_3_P02,9,1_3_9,0.357847986,0.077402248,6.269582049
Grow-Out,Ambient,Single,B,24,1_24_P03,10,1_24_4,0.102006563,0.077640929,6.288915222
Stress,Ambient,Diverse,B,5,2_P08,6,2_5_43,0.030111616,0.077958608,1.091420512
Stress,Ambient,Single,B,12,1_12_P03,5,1_12_33,0.04672281,0.078609664,1.100535292
Stress,High,Single,D,24,1_24_P02,4,1_24_37,0.082389463,0.078889121,1.104447688
Stress,Ambient,Diverse,A,23,2_P01,1,2_23_59,0.034029667,0.079156873,1.108196215
Stress,Ambient,Diverse,A,2,2_P01,7,2_2_61,0.05904078,0.079646653,1.115053141
Grow-Out,Ambient,Diverse,C,2,2_P19,3,2_2_55,0.384784588,0.080365486,6.50960433
Stress,Ambient,Single,B,2,1_2_P02,2,1_2_37,0.045146322,0.080387495,1.125424927
Grow-Out,Ambient,Single,D,31,1_31_P01,7,1_31_11,0.097170237,0.08053801,6.52357881
Stress,Ambient,Diverse,A,2,2_P02,10,2_2_43,0.052230154,0.080929138,1.13300793
Grow-Out,Ambient,Single,C,12,1_12_P03,8,1_12_22,0.111585453,0.081568987,6.60708793
Grow-Out,Ambient,Single,A,31,1_31_P04,2,1_31_35,0.106892262,0.081601798,6.609745659
Grow-Out,Ambient,Diverse,D,1,2_P16,9,2_1_54,0.156557428,0.081911474,6.63482942
Stress,Ambient,Single,B,24,1_24_P04,7,1_24_12,0.052050599,0.081929038,1.147006537
Grow-Out,Ambient,Diverse,B,23,2_P04,10,2_23_45,0.321337066,0.082159191,6.654894473
Stress,Ambient,Single,A,32,1_32_P01,8,1_32_22,0.04985808,0.082623739,1.156732343
Stress,High,Single,C,12,1_12_P01,5,1_12_6,0.035048814,0.0829851,1.161791395
Stress,High,Single,D,1,1_1_P02,9,1_1_16,0.061771756,0.082996919,1.161956865
Grow-Out,Ambient,Single,B,3,1_3_P03,5,1_3_24,0.38898507,0.083185707,6.738042305
Grow-Out,Ambient,Single,B,31,1_31_P02,3,1_31_3,0.094608611,0.083447833,6.759274502
Stress,High,Single,C,23,1_23_P02,4,1_23_9,0.01631024,0.083820235,1.173483289
Stress,Ambient,Diverse,A,24,2_P01,2,2_24_58,0.045454337,0.083949592,1.175294288
Stress,High,Single,D,5,1_5_P04,6,1_5_23,0.016097801,0.084187622,1.178626702
Grow-Out,Ambient,Single,B,3,1_3_P04,5,1_3_13,0.145549587,0.084230284,6.822653029
Stress,High,Single,D,23,1_23_P04,2,1_23_23,0.036195394,0.084784507,1.186983103
Grow-Out,Ambient,Single,A,12,1_12_P01,2,1_12_37,0.116871434,0.085112955,6.894149331
Stress,Ambient,Diverse,B,5,2_P13,5,2_5_51,0.023639077,0.085142106,1.191989478
Stress,Ambient,Diverse,A,24,2_P11,6,2_24_43,0.034494483,0.085308564,1.194319901
Grow-Out,Ambient,Diverse,D,12,2_P16,10,2_12_54,0.297324883,0.085679055,6.94000346
Grow-Out,Ambient,Single,C,12,1_12_P03,2,1_12_7,0.108614856,0.085762871,6.946792579
Stress,High,Diverse,C,12,2_P07,9,2_12_45,0.03587986,0.086046662,1.204653268
Stress,Ambient,Diverse,B,23,2_P04,10,2_23_45,0.063503008,0.086206991,1.206897877
Stress,Ambient,Diverse,B,32,2_P04,3,1_32_60,0.035906629,0.086350756,1.20891059
Stress,Ambient,Single,B,5,1_5_P01,9,1_5_1,0.016977595,0.086351057,1.208914802
Grow-Out,Ambient,Diverse,C,12,2_P17,10,2_12_52,0.180379599,0.086368179,6.995822499
Stress,High,Diverse,D,31,2_P05,2,2_31_50,0.037972633,0.08645927,1.210429782
Grow-Out,Ambient,Diverse,B,3,2_P04,6,2_3_41,0.432680997,0.086516622,7.00784641
Stress,Ambient,Diverse,B,2,2_P13,2,2_2_42,0.06029104,0.086986224,1.217807135
Grow-Out,Ambient,Single,A,3,1_3_P01,9,1_3_39,0.215370082,0.087096947,7.054852673
Stress,High,Single,C,3,1_3_P01,5,1_3_34,0.066139295,0.087404961,1.223669455
Grow-Out,Ambient,Diverse,B,31,2_P04,4,2_31_58,0.372319547,0.087640185,7.098855013
Grow-Out,Ambient,Single,C,5,1_5_P03,9,1_5_20,0.081660891,0.088827863,7.19505687
Stress,Ambient,Single,B,23,1_23_P01,3,1_23_25,0.021630687,0.089096914,1.247356802
Stress,High,Diverse,C,4,2_P06,7,2_4_49,0.044781536,0.089271106,1.249795488
Grow-Out,Ambient,Single,A,3,1_3_P01,3,1_3_30,0.417776826,0.089391361,7.240700237
Stress,High,Diverse,D,1,2_P20,10,2_1_61,0.04025253,0.089552699,1.25373778
Stress,High,Single,D,2,1_2_P04,7,1_2_35B,0.074206324,0.089736243,1.256307405
Stress,Ambient,Single,B,31,1_31_P02,10,1_31_62,0.05212076,0.08974649,1.256450856
Stress,Ambient,Single,B,24,1_24_P04,1,1_24_28,0.063402376,0.089799277,1.257189876
Grow-Out,Ambient,Single,A,3,1_3_P01,10,1_3_21,0.440008535,0.090087466,7.29708478
Grow-Out,Ambient,Single,B,3,1_3_P04,9,1_3_22,0.184382117,0.09011782,7.299543449
Stress,High,Single,D,24,1_24_P02,8,1_24_40,0.045065617,0.090261313,1.263658389
Grow-Out,Ambient,Single,A,4,1_4_P03,8,1_4_21,0.098459958,0.090631708,7.34116838
Stress,Ambient,Diverse,A,32,2_P01,6,1_32_46,0.041092695,0.091219762,1.277076672
Stress,High,Diverse,D,5,2_P20,4,2_5_41,0.038351076,0.091325317,1.278554444
Grow-Out,Ambient,Diverse,B,3,2_P10,4,2_3_43,0.162526592,0.091899793,7.443883213
Stress,Ambient,Single,B,24,1_24_P04,3,1_24_11,0.067943706,0.092074468,1.289042555
Stress,High,Diverse,C,23,2_P17,5,2_23_49,0.026580201,0.092103471,1.289448592
Grow-Out,Ambient,Single,C,1,1_1_P01,5,1_1_2,0.254545513,0.092110403,7.460942619
Grow-Out,Ambient,Single,A,12,1_12_P02,5,1_12_62,0.368032423,0.092131101,7.462619201
Grow-Out,Ambient,Single,B,1,1_1_P02,6,1_1_4,0.216439441,0.092239095,7.471366712
Grow-Out,Ambient,Single,D,31,1_31_P01,8,1_31_19,0.088948762,0.092338071,7.479383743
Stress,High,Single,D,24,1_24_P02,2,1_24_10,0.051369559,0.092383666,1.293371322
Grow-Out,Ambient,Diverse,A,12,2_P20,5,2_12_4,0.240027651,0.09251812,7.493967684
Stress,High,Single,D,2,1_2_P04,4,1_2_36,0.060460178,0.092684596,1.297584344
Grow-Out,Ambient,Single,A,12,1_12_P01,3,1_12_10,0.338881551,0.092886992,7.523846326
Grow-Out,Ambient,Diverse,C,12,2_P18,9,2_12_44,0.14311349,0.092895168,7.524508618
Stress,Ambient,Single,B,3,1_3_P03,2,1_3_19,0.035110093,0.092994582,1.301924141
Stress,Ambient,Single,B,3,1_3_P03,4,1_3_1,0.041842591,0.093207066,1.30489893
Grow-Out,Ambient,Diverse,D,3,2_P12,4,2_3_52,0.231856333,0.093406733,7.565945379
Grow-Out,Ambient,Single,A,12,1_12_P02,8,1_12_32,0.244436121,0.093440165,7.568653334
Grow-Out,Ambient,Single,A,12,1_12_P02,7,1_12_29,0.200045521,0.093856049,7.602340006
Stress,High,Single,D,31,1_31_P01,6,1_31_12,0.016358975,0.094219589,1.319074241
Grow-Out,Ambient,Diverse,D,1,2_P13,6,2_1_58,0.31714998,0.094248277,7.634110404
Grow-Out,Ambient,Single,A,32,1_32_P03,6,1_32_28,0.157566471,0.094571667,7.660305011
Stress,Ambient,Diverse,A,32,2_P14,1,2_32_41,0.04013998,0.094683986,1.325575798
Grow-Out,Ambient,Single,B,31,1_31_P02,8,1_31_39,0.173007041,0.094694471,7.670252168
Stress,High,Diverse,D,2,2_P12,1,2_2_41,0.101671391,0.094698279,1.325775906
Stress,Ambient,Diverse,B,24,2_P03,1,2_24_44,0.154894883,0.09497135,1.329598907
Grow-Out,Ambient,Diverse,D,24,2_P14,6,2_24_41,0.46303058,0.095064715,7.700241955
Stress,Ambient,Diverse,A,32,2_P11,10,1_32_51,0.055329487,0.095128216,1.331795019
Grow-Out,Ambient,Single,A,31,1_31_P04,6,1_31_22,0.116276558,0.095316066,7.720601333
Grow-Out,Ambient,Single,A,24,1_24_P04,2,1_24_22,0.808181601,0.095396862,7.727145797
Grow-Out,Ambient,Single,B,3,1_3_P04,6,1_3_31,0.272208868,0.095488038,7.734531065
Grow-Out,Ambient,Single,C,1,1_1_P04,2,1_1_30,0.250448965,0.095805768,7.760267205
Grow-Out,Ambient,Single,C,12,1_12_P03,5,1_12_33,0.299846729,0.096010734,7.776869473
Stress,High,Diverse,D,24,2_P12,6,2_24_52,0.046910205,0.096060522,1.344847302
Grow-Out,Ambient,Single,B,1,1_1_P02,7,1_1_27,0.257956947,0.096466655,7.813799092
Grow-Out,Ambient,Single,C,12,1_12_P03,9,1_12_35,0.225999171,0.0965271,7.818695124
Stress,High,Single,C,1,1_1_P04,5,1_1_38,0.024417451,0.096747914,1.354470799
Stress,Ambient,Diverse,B,1,2_P13,6,2_1_58,0.06087077,0.097130817,1.359831442
Grow-Out,Ambient,Single,C,2,1_2_P04,5,1_2_27,0.776116323,0.098013512,7.939094468
Grow-Out,Ambient,Single,A,12,1_12_P01,9,1_12_16,0.256727269,0.098061731,7.943000186
Grow-Out,Ambient,Single,D,32,1_32_P04,6,1_32_10B,0.113362341,0.098492432,7.977887006
Grow-Out,Ambient,Diverse,A,12,2_P08,10,2_12_58,0.275543829,0.098700057,7.994704587
Grow-Out,Ambient,Diverse,C,2,2_P17,3,2_2_51,0.626247053,0.09955597,8.064033595
