Timepoint,Sample,Colony,Survivorship,Polyps,Treatment,Richness.Type
S2D11,JA-18-2,841-47,0,NA,High,Single
End,JA-18-2,841-47,0,NA,High,Single
Initial,JA-18-3,841-47,1,3,High,Single
S1D3,JA-18-3,841-47,1,4,High,Single
S2R1,JA-18-3,841-47,1,5,High,Single
S2D2,JA-18-3,841-47,1,3,High,Single
S2D8,JA-18-3,841-47,1,3,High,Single
S2D11,JA-18-3,841-47,0,NA,High,Single
End,JA-18-3,841-47,0,NA,High,Single
Initial,JA-19-2,841-47,1,2,Ambient,Single
S1D3,JA-19-2,841-47,1,3,Ambient,Single
S2R1,JA-19-2,841-47,1,4,Ambient,Single
S2D2,JA-19-2,841-47,1,3,Ambient,Single
S2D8,JA-19-2,841-47,1,2,Ambient,Single
S2D11,JA-19-2,841-47,1,2,Ambient,Single
End,JA-19-2,841-47,0,NA,Ambient,Single
Initial,JA-20-2,841-47,1,4,Ambient,Single
S1D3,JA-20-2,841-47,1,5,Ambient,Single
S2R1,JA-20-2,841-47,1,6,Ambient,Single
S2D2,JA-20-2,841-47,1,5,Ambient,Single
S2D8,JA-20-2,841-47,1,7,Ambient,Single
S2D11,JA-20-2,841-47,1,7,Ambient,Single
End,JA-20-2,841-47,1,7,Ambient,Single
Initial,JA-20-3,841-47,1,3,Ambient,Single
S1D3,JA-20-3,841-47,1,4,Ambient,Single
S2R1,JA-20-3,841-47,1,4,Ambient,Single
S2D2,JA-20-3,841-47,0,NA,Ambient,Single
S2D8,JA-20-3,841-47,0,NA,Ambient,Single
S2D11,JA-20-3,841-47,0,NA,Ambient,Single
End,JA-20-3,841-47,0,NA,Ambient,Single
Initial,JA-22-1,812-25,1,4,High,Single
S1D3,JA-22-1,812-25,1,4,High,Single
S2R1,JA-22-1,812-25,1,4,High,Single
S2D2,JA-22-1,812-25,1,5,High,Single
S2D8,JA-22-1,812-25,1,3,High,Single
S2D11,JA-22-1,812-25,0,NA,High,Single
End,JA-22-1,812-25,0,NA,High,Single
Initial,JA-22-3,812-25,1,2,High,Single
S1D3,JA-22-3,812-25,1,2,High,Single
S2R1,JA-22-3,812-25,1,3,High,Single
S2D2,JA-22-3,812-25,1,3,High,Single
S2D8,JA-22-3,812-25,1,1,High,Single
S2D11,JA-22-3,812-25,0,NA,High,Single
End,JA-22-3,812-25,0,NA,High,Single
Initial,JA-22-4,812-25,1,2,High,Single
S1D3,JA-22-4,812-25,1,2,High,Single
S2R1,JA-22-4,812-25,1,3,High,Single
S2D2,JA-22-4,812-25,1,4,High,Single
S2D8,JA-22-4,812-25,1,3,High,Single
S2D11,JA-22-4,812-25,0,NA,High,Single
End,JA-22-4,812-25,0,NA,High,Single
Initial,JA-23-1,801-47,1,3,High,Single
S1D3,JA-23-1,801-47,1,3,High,Single
S2R1,JA-23-1,801-47,1,3,High,Single
S2D2,JA-23-1,801-47,1,3,High,Single
S2D8,JA-23-1,801-47,1,2,High,Single
S2D11,JA-23-1,801-47,0,NA,High,Single
End,JA-23-1,801-47,0,NA,High,Single
Initial,JA-23-2,801-47,1,3,High,Single
S1D3,JA-23-2,801-47,1,4,High,Single
S2R1,JA-23-2,801-47,1,4,High,Single
S2D2,JA-23-2,801-47,1,4,High,Single
S2D8,JA-23-2,801-47,1,3,High,Single
S2D11,JA-23-2,801-47,0,NA,High,Single
End,JA-23-2,801-47,0,NA,High,Single
Initial,JA-23-3,801-47,1,2,High,Single
S1D3,JA-23-3,801-47,1,3,High,Single
S2R1,JA-23-3,801-47,1,2,High,Single
S2D2,JA-23-3,801-47,1,2,High,Single
S2D8,JA-23-3,801-47,0,NA,High,Single
S2D11,JA-23-3,801-47,0,NA,High,Single
End,JA-23-3,801-47,0,NA,High,Single
Initial,JA-24-2,801-47,1,4,High,Single
S1D3,JA-24-2,801-47,1,5,High,Single
S2R1,JA-24-2,801-47,1,5,High,Single
S2D2,JA-24-2,801-47,1,5,High,Single
S2D8,JA-24-2,801-47,1,5,High,Single
S2D11,JA-24-2,801-47,0,NA,High,Single
End,JA-24-2,801-47,0,NA,High,Single
Initial,JA-24-3,801-47,1,5,High,Single
S1D3,JA-24-3,801-47,1,5,High,Single
S2R1,JA-24-3,801-47,1,5,High,Single
S2D2,JA-24-3,801-47,1,2,High,Single
S2D8,JA-24-3,801-47,1,4,High,Single
S2D11,JA-24-3,801-47,0,NA,High,Single
End,JA-24-3,801-47,0,NA,High,Single
Initial,JA-24-4,801-47,1,6,High,Single
S1D3,JA-24-4,801-47,1,6,High,Single
S2R1,JA-24-4,801-47,1,6,High,Single
S2D2,JA-24-4,801-47,1,3,High,Single
S2D8,JA-24-4,801-47,1,4,High,Single
S2D11,JA-24-4,801-47,0,NA,High,Single
End,JA-24-4,801-47,0,NA,High,Single
Initial,JA-26-1,742-F,1,3,High,Single
S1D3,JA-26-1,742-F,1,3,High,Single
S2R1,JA-26-1,742-F,1,3,High,Single
S2D2,JA-26-1,742-F,1,4,High,Single
S2D8,JA-26-1,742-F,1,3,High,Single
S2D11,JA-26-1,742-F,0,NA,High,Single
End,JA-26-1,742-F,0,NA,High,Single
Initial,JA-27-1,742-F,1,3,Ambient,Single
S1D3,JA-27-1,742-F,1,3,Ambient,Single
S2R1,JA-27-1,742-F,1,3,Ambient,Single
S2D2,JA-27-1,742-F,1,3,Ambient,Single
S2D8,JA-27-1,742-F,1,3,Ambient,Single
S2D11,JA-27-1,742-F,1,3,Ambient,Single
End,JA-27-1,742-F,1,4,Ambient,Single
Initial,JA-27-2,742-F,1,5,Ambient,Single
S1D3,JA-27-2,742-F,1,5,Ambient,Single
S2R1,JA-27-2,742-F,1,5,Ambient,Single
S2D2,JA-27-2,742-F,1,5,Ambient,Single
S2D8,JA-27-2,742-F,1,6,Ambient,Single
S2D11,JA-27-2,742-F,1,5,Ambient,Single
End,JA-27-2,742-F,1,7,Ambient,Single
Initial,JA-28-1,742-F,1,2,Ambient,Single
S1D3,JA-28-1,742-F,1,4,Ambient,Single
S2R1,JA-28-1,742-F,1,4,Ambient,Single
S2D2,JA-28-1,742-F,1,4,Ambient,Single
S2D8,JA-28-1,742-F,1,5,Ambient,Single
S2D11,JA-28-1,742-F,0,NA,Ambient,Single
End,JA-28-1,742-F,0,NA,Ambient,Single
Initial,JA-28-2,742-F,1,2,Ambient,Single
S1D3,JA-28-2,742-F,1,4,Ambient,Single
S2R1,JA-28-2,742-F,1,4,Ambient,Single
S2D2,JA-28-2,742-F,1,4,Ambient,Single
S2D8,JA-28-2,742-F,1,5,Ambient,Single
S2D11,JA-28-2,742-F,1,5,Ambient,Single
End,JA-28-2,742-F,0,5,Ambient,Single
Initial,JA-28-3,742-F,1,2,Ambient,Single
S1D3,JA-28-3,742-F,1,2,Ambient,Single
S2R1,JA-28-3,742-F,1,2,Ambient,Single
S2D2,JA-28-3,742-F,1,2,Ambient,Single
S2D8,JA-28-3,742-F,1,2,Ambient,Single
S2D11,JA-28-3,742-F,1,3,Ambient,Single
End,JA-28-3,742-F,1,3,Ambient,Single
Initial,JA-29-1,742-F,1,3,Ambient,Single
S1D3,JA-29-1,742-F,1,3,Ambient,Single
S2R1,JA-29-1,742-F,1,3,Ambient,Single
S2D2,JA-29-1,742-F,1,3,Ambient,Single
S2D8,JA-29-1,742-F,1,3,Ambient,Single
S2D11,JA-29-1,742-F,1,4,Ambient,Single
End,JA-29-1,742-F,1,5,Ambient,Single
Initial,JA-29-2,742-F,1,3,Ambient,Single
S1D3,JA-29-2,742-F,1,4,Ambient,Single
S2R1,JA-29-2,742-F,1,4,Ambient,Single
S2D2,JA-29-2,742-F,1,4,Ambient,Single
S2D8,JA-29-2,742-F,1,4,Ambient,Single
S2D11,JA-29-2,742-F,1,5,Ambient,Single
End,JA-29-2,742-F,1,5,Ambient,Single
Initial,JA-29-3,742-F,1,3,Ambient,Single
S1D3,JA-29-3,742-F,1,3,Ambient,Single
S2R1,JA-29-3,742-F,1,3,Ambient,Single
S2D2,JA-29-3,742-F,1,3,Ambient,Single
S2D8,JA-29-3,742-F,1,5,Ambient,Single
S2D11,JA-29-3,742-F,1,5,Ambient,Single
End,JA-29-3,742-F,1,5,Ambient,Single
Initial,JA-58-1,806-42,1,2,High,Single
S1D3,JA-58-1,806-42,1,4,High,Single
S2R1,JA-58-1,806-42,1,3,High,Single
S2D2,JA-58-1,806-42,1,5,High,Single
S2D8,JA-58-1,806-42,1,4,High,Single
S2D11,JA-58-1,806-42,0,NA,High,Single
End,JA-58-1,806-42,0,NA,High,Single
Initial,JA-58-2,806-42,1,4,High,Single
S1D3,JA-58-2,806-42,1,4,High,Single
S2R1,JA-58-2,806-42,1,4,High,Single
S2D2,JA-58-2,806-42,1,4,High,Single
S2D8,JA-58-2,806-42,1,3,High,Single
S2D11,JA-58-2,806-42,0,NA,High,Single
End,JA-58-2,806-42,0,NA,High,Single
Initial,JA-59-1,806-42,1,1,High,Single
S1D3,JA-59-1,806-42,1,1,High,Single
S2R1,JA-59-1,806-42,1,3,High,Single
S2D2,JA-59-1,806-42,1,4,High,Single
S2D8,JA-59-1,806-42,1,3,High,Single
S2D11,JA-59-1,806-42,0,NA,High,Single
End,JA-59-1,806-42,0,NA,High,Single
Initial,JA-60-1,806-42,1,2,High,Single
S1D3,JA-60-1,806-42,1,3,High,Single
S2R1,JA-60-1,806-42,1,3,High,Single
S2D2,JA-60-1,806-42,1,3,High,Single
S2D8,JA-60-1,806-42,0,NA,High,Single
S2D11,JA-60-1,806-42,0,NA,High,Single
End,JA-60-1,806-42,0,NA,High,Single
Initial,JA-60-2,806-42,1,3,High,Single
S1D3,JA-60-2,806-42,1,4,High,Single
S2R1,JA-60-2,806-42,1,4,High,Single
S2D2,JA-60-2,806-42,1,4,High,Single
S2D8,JA-60-2,806-42,1,3,High,Single
S2D11,JA-60-2,806-42,0,NA,High,Single
End,JA-60-2,806-42,0,NA,High,Single
Initial,JA-64-1,823-1,1,4,Ambient,Single
S1D3,JA-64-1,823-1,1,5,Ambient,Single
S2R1,JA-64-1,823-1,1,5,Ambient,Single
S2D2,JA-64-1,823-1,1,5,Ambient,Single
S2D8,JA-64-1,823-1,1,6,Ambient,Single
S2D11,JA-64-1,823-1,1,6,Ambient,Single
End,JA-64-1,823-1,1,6,Ambient,Single
Initial,JA-64-2,823-1,1,5,Ambient,Single
S1D3,JA-64-2,823-1,1,4,Ambient,Single
S2R1,JA-64-2,823-1,1,5,Ambient,Single
S2D2,JA-64-2,823-1,1,5,Ambient,Single
S2D8,JA-64-2,823-1,1,6,Ambient,Single
S2D11,JA-64-2,823-1,1,6,Ambient,Single
End,JA-64-2,823-1,0,NA,Ambient,Single
Initial,JA-7-1,803-42,1,3,High,Single
S1D3,JA-7-1,803-42,1,4,High,Single
S2R1,JA-7-1,803-42,1,4,High,Single
S2D2,JA-7-1,803-42,1,4,High,Single
S2D8,JA-7-1,803-42,1,4,High,Single
S2D11,JA-7-1,803-42,1,3,High,Single
End,JA-7-1,803-42,0,NA,High,Single
Initial,JA-7-2,803-42,1,2,High,Single
S1D3,JA-7-2,803-42,1,NA,High,Single
S2R1,JA-7-2,803-42,1,NA,High,Single
S2D2,JA-7-2,803-42,1,NA,High,Single
S2D8,JA-7-2,803-42,1,NA,High,Single
S2D11,JA-7-2,803-42,1,NA,High,Single
End,JA-7-2,803-42,0,NA,High,Single
Initial,JA-9-1,750-F,1,2,Ambient,Single
S1D3,JA-9-1,750-F,1,2,Ambient,Single
S2R1,JA-9-1,750-F,1,2,Ambient,Single
S2D2,JA-9-1,750-F,1,2,Ambient,Single
S2D8,JA-9-1,750-F,1,2,Ambient,Single
S2D11,JA-9-1,750-F,1,2,Ambient,Single
End,JA-9-1,750-F,1,2,Ambient,Single
Initial,JA-9-2,750-F,1,2,Ambient,Single
S1D3,JA-9-2,750-F,1,3,Ambient,Single
S2R1,JA-9-2,750-F,1,4,Ambient,Single
S2D2,JA-9-2,750-F,1,4,Ambient,Single
S2D8,JA-9-2,750-F,1,6,Ambient,Single
S2D11,JA-9-2,750-F,1,6,Ambient,Single
End,JA-9-2,750-F,1,6,Ambient,Single
Initial,JN-5-3,804-42,1,2,Ambient,Single
S1D3,JN-5-3,804-42,1,2,Ambient,Single
S2R1,JN-5-3,804-42,1,2,Ambient,Single
S2D2,JN-5-3,804-42,1,2,Ambient,Single
S2D8,JN-5-3,804-42,1,2,Ambient,Single
S2D11,JN-5-3,804-42,1,2,Ambient,Single
End,JN-5-3,804-42,0,NA,Ambient,Single
Initial,AN-10-1,807-42,1,4,Ambient,Multiple
S1D3,AN-10-1,807-42,1,5,Ambient,Multiple
S2R1,AN-10-1,807-42,1,6,Ambient,Multiple
S2D2,AN-10-1,807-42,1,7,Ambient,Multiple
S2D8,AN-10-1,807-42,1,7,Ambient,Multiple
S2D11,AN-10-1,807-42,1,7,Ambient,Multiple
End,AN-10-1,807-42,1,7,Ambient,Multiple
Initial,AN-10-2,806-42,1,1,Ambient,Multiple
S1D3,AN-10-2,806-42,1,2,Ambient,Multiple
S2R1,AN-10-2,806-42,1,2,Ambient,Multiple
S2D2,AN-10-2,806-42,1,3,Ambient,Multiple
S2D8,AN-10-2,806-42,1,4,Ambient,Multiple
S2D11,AN-10-2,806-42,1,4,Ambient,Multiple
End,AN-10-2,806-42,1,3,Ambient,Multiple
Initial,AN-3-1,743-13,1,2,Ambient,Multiple
S1D3,AN-3-1,743-13,1,2,Ambient,Multiple
S2R1,AN-3-1,743-13,1,3,Ambient,Multiple
S2D2,AN-3-1,743-13,1,3,Ambient,Multiple
S2D8,AN-3-1,743-13,1,3,Ambient,Multiple
S2D11,AN-3-1,743-13,1,3,Ambient,Multiple
End,AN-3-1,743-13,1,3,Ambient,Multiple
Initial,AN-3-2,744-1,1,2,Ambient,Multiple
S1D3,AN-3-2,744-1,1,3,Ambient,Multiple
S2R1,AN-3-2,744-1,1,3,Ambient,Multiple
S2D2,AN-3-2,744-1,1,3,Ambient,Multiple
S2D8,AN-3-2,744-1,1,3,Ambient,Multiple
S2D11,AN-3-2,744-1,1,3,Ambient,Multiple
End,AN-3-2,744-1,0,NA,Ambient,Multiple
Initial,AN-9-1,806-42,1,1,High,Multiple
S1D3,AN-9-1,806-42,1,1,High,Multiple
S2R1,AN-9-1,806-42,1,2,High,Multiple
S2D2,AN-9-1,806-42,1,1,High,Multiple
S2D8,AN-9-1,806-42,1,1,High,Multiple
S2D11,AN-9-1,806-42,1,1,High,Multiple
End,AN-9-1,806-42,0,NA,High,Multiple
Initial,AN-9-2,807-42,1,2,High,Multiple
S1D3,AN-9-2,807-42,1,3,High,Multiple
S2R1,AN-9-2,807-42,1,3,High,Multiple
S2D2,AN-9-2,807-42,1,3,High,Multiple
S2D8,AN-9-2,807-42,1,3,High,Multiple
S2D11,AN-9-2,807-42,0,NA,High,Multiple
End,AN-9-2,807-42,0,NA,High,Multiple
Initial,JN-1-1,813-25,1,3,Ambient,Multiple
S1D3,JN-1-1,813-25,1,4,Ambient,Multiple
S2R1,JN-1-1,813-25,1,4,Ambient,Multiple
S2D2,JN-1-1,813-25,1,3,Ambient,Multiple
S2D8,JN-1-1,813-25,1,5,Ambient,Multiple
S2D11,JN-1-1,813-25,1,4,Ambient,Multiple
End,JN-1-1,813-25,1,4,Ambient,Multiple
Initial,JN-1-2,831-47,1,5,Ambient,Multiple
S1D3,JN-1-2,831-47,1,7,Ambient,Multiple
S2R1,JN-1-2,831-47,1,6,Ambient,Multiple
S2D2,JN-1-2,831-47,1,6,Ambient,Multiple
S2D8,JN-1-2,831-47,1,6,Ambient,Multiple
S2D11,JN-1-2,831-47,0,NA,Ambient,Multiple
End,JN-1-2,831-47,0,NA,Ambient,Multiple
Initial,JN-14-1,742-F,1,4,Ambient,Multiple
S1D3,JN-14-1,742-F,1,4,Ambient,Multiple
S2R1,JN-14-1,742-F,1,4,Ambient,Multiple
S2D2,JN-14-1,742-F,1,4,Ambient,Multiple
S2D8,JN-14-1,742-F,1,4,Ambient,Multiple
S2D11,JN-14-1,742-F,1,4,Ambient,Multiple
End,JN-14-1,742-F,1,5,Ambient,Multiple
Initial,JN-14-2,801-47,1,4,Ambient,Multiple
S1D3,JN-14-2,801-47,1,5,Ambient,Multiple
S2R1,JN-14-2,801-47,1,5,Ambient,Multiple
S2D2,JN-14-2,801-47,1,5,Ambient,Multiple
S2D8,JN-14-2,801-47,1,5,Ambient,Multiple
S2D11,JN-14-2,801-47,1,4,Ambient,Multiple
End,JN-14-2,801-47,1,6,Ambient,Multiple
Initial,JN-22-1,815-25,1,2,Ambient,Multiple
S1D3,JN-22-1,815-25,1,2,Ambient,Multiple
S2R1,JN-22-1,815-25,1,2,Ambient,Multiple
S2D2,JN-22-1,815-25,1,2,Ambient,Multiple
S2D8,JN-22-1,815-25,1,2,Ambient,Multiple
S2D11,JN-22-1,815-25,1,3,Ambient,Multiple
End,JN-22-1,815-25,1,2,Ambient,Multiple
Initial,JN-22-2,807-42,1,6,Ambient,Multiple
S1D3,JN-22-2,807-42,1,6,Ambient,Multiple
S2R1,JN-22-2,807-42,1,6,Ambient,Multiple
S2D2,JN-22-2,807-42,1,6,Ambient,Multiple
S2D8,JN-22-2,807-42,1,6,Ambient,Multiple
S2D11,JN-22-2,807-42,1,6,Ambient,Multiple
End,JN-22-2,807-42,1,6,Ambient,Multiple
Initial,JN-24-1,823-1,1,7,Ambient,Multiple
S1D3,JN-24-1,823-1,1,7,Ambient,Multiple
S2R1,JN-24-1,823-1,1,7,Ambient,Multiple
S2D2,JN-24-1,823-1,1,7,Ambient,Multiple
S2D8,JN-24-1,823-1,1,7,Ambient,Multiple
S2D11,JN-24-1,823-1,1,7,Ambient,Multiple
End,JN-24-1,823-1,1,8,Ambient,Multiple
Initial,JN-24-2,801-47,1,4,Ambient,Multiple
S1D3,JN-24-2,801-47,1,4,Ambient,Multiple
S2R1,JN-24-2,801-47,1,4,Ambient,Multiple
S2D2,JN-24-2,801-47,1,4,Ambient,Multiple
S2D8,JN-24-2,801-47,1,5,Ambient,Multiple
S2D11,JN-24-2,801-47,1,4,Ambient,Multiple
End,JN-24-2,801-47,1,3,Ambient,Multiple
Initial,JN-25-1,821-47,1,5,High,Multiple
S1D3,JN-25-1,821-47,1,6,High,Multiple
S2R1,JN-25-1,821-47,1,6,High,Multiple
S2D2,JN-25-1,821-47,1,6,High,Multiple
S2D8,JN-25-1,821-47,1,6,High,Multiple
S2D11,JN-25-1,821-47,0,NA,High,Multiple
End,JN-25-1,821-47,0,NA,High,Multiple
Initial,JN-25-2,803-42,1,3,High,Multiple
S1D3,JN-25-2,803-42,1,4,High,Multiple
S2R1,JN-25-2,803-42,1,4,High,Multiple
S2D2,JN-25-2,803-42,1,4,High,Multiple
S2D8,JN-25-2,803-42,1,5,High,Multiple
S2D11,JN-25-2,803-42,1,5,High,Multiple
End,JN-25-2,803-42,0,NA,High,Multiple
Initial,JN-27-1,821-47,1,4,Ambient,Multiple
S1D3,JN-27-1,821-47,1,5,Ambient,Multiple
S2R1,JN-27-1,821-47,1,4,Ambient,Multiple
S2D2,JN-27-1,821-47,1,5,Ambient,Multiple
S2D8,JN-27-1,821-47,1,5,Ambient,Multiple
S2D11,JN-27-1,821-47,1,5,Ambient,Multiple
End,JN-27-1,821-47,1,7,Ambient,Multiple
Initial,JN-27-2,806-42,1,3,Ambient,Multiple
